hbm_id,cycles,mem_cycles,avg_latency,repair_none,repair_layer_a,repair_layer_b,repair_layer_c,repair_layer_d,total_repaired,K,bad_banks,ded_rows
875,3695292.0,3695893.0,26.10125815625,578714,0,47,2,8210,8259,228,7,684
876,3695336.0,3695898.0,26.1013002375,584599,1,50,1,2322,2374,65,2,703
877,3695331.0,3695908.0,26.1013804625,578653,0,59,0,8261,8320,228,7,671
878,3695363.0,3695905.0,26.10206865625,586933,0,39,1,0,40,0,0,679
879,3695333.0,3695904.0,26.101056687499998,571922,1,45,4,15001,15051,427,13,700
880,3695315.0,3695903.0,26.10103189375,583410,0,58,2,3503,3563,97,3,677
881,3695316.0,3695885.0,26.10125385625,584666,1,51,2,2253,2307,65,2,669
882,3695328.0,3695898.0,26.10125421875,578949,0,52,2,7970,8024,228,7,680
883,3695363.0,3695905.0,26.10206865625,586937,1,34,1,0,36,0,0,707
884,3695363.0,3695905.0,26.10206865625,586912,0,60,1,0,61,0,0,685
885,3695338.0,3695902.0,26.10155189375,575899,2,45,0,11027,11074,327,10,651
886,3695329.0,3695885.0,26.1010229625,585689,0,54,3,1227,1284,33,1,653
887,3695322.0,3695890.0,26.1012435,583433,1,53,3,3483,3540,97,3,686
888,3695345.0,3695900.0,26.101439125,584513,1,42,3,2414,2460,65,2,675
889,3695363.0,3695905.0,26.10206865625,586909,0,60,4,0,64,0,0,707
890,3695264.0,3695884.0,26.10120369375,580020,1,38,3,6911,6953,195,6,686
891,3695363.0,3695905.0,26.10206865625,586923,0,48,2,0,50,0,0,647
892,3695343.0,3695897.0,26.101454375,575203,0,43,1,11726,11770,327,10,667
893,3695322.0,3695903.0,26.10114515,576338,4,41,4,10586,10635,294,9,642
894,3695341.0,3695896.0,26.10131811875,576348,1,48,2,10574,10625,294,9,662
895,3695310.0,3695874.0,26.1012187,573033,0,53,0,13887,13940,394,12,668
896,3695327.0,3695887.0,26.101346725,585692,0,45,1,1235,1281,33,1,655
897,3695336.0,3695894.0,26.101313349999998,575646,0,52,5,11270,11327,327,10,695
898,3695332.0,3695902.0,26.10119735625,582193,0,38,3,4739,4780,130,4,696
899,3695303.0,3695892.0,26.1012318,571108,0,43,5,15817,15865,461,14,655
900,3695318.0,3695892.0,26.10120783125,576581,0,26,1,10365,10392,294,9,644
901,3695294.0,3695883.0,26.1012271625,578533,0,54,2,8384,8440,228,7,691
902,3695363.0,3695905.0,26.10206865625,586912,0,56,5,0,61,0,0,685
903,3695321.0,3695883.0,26.1011390625,582238,0,44,3,4688,4735,130,4,651
904,3695330.0,3695896.0,26.1010729,578819,0,50,0,8104,8154,228,7,661
905,3695321.0,3695893.0,26.1014046625,574175,3,44,0,12751,12798,360,11,679
906,3695363.0,3695905.0,26.10206865625,586919,0,53,1,0,54,0,0,688
907,3695363.0,3695905.0,26.10206865625,586922,3,48,0,0,51,0,0,697
908,3695363.0,3695905.0,26.10206865625,586929,0,41,3,0,44,0,0,654
909,3695335.0,3695896.0,26.101358525,576767,1,43,0,10162,10206,294,9,686
910,3695307.0,3695907.0,26.10150240625,585707,0,56,1,1209,1266,33,1,673
911,3695363.0,3695905.0,26.10206865625,586919,1,53,0,0,54,0,0,639
912,3695363.0,3695905.0,26.10206865625,586932,0,40,1,0,41,0,0,682
913,3695328.0,3695898.0,26.1012740125,583608,0,50,2,3313,3365,97,3,688
914,3695324.0,3695899.0,26.10134660625,584450,1,51,2,2469,2523,65,2,683
915,3695363.0,3695905.0,26.10206865625,586924,1,48,0,0,49,0,0,664
916,3695316.0,3695881.0,26.101226575,584612,2,62,3,2294,2361,65,2,686
917,3695316.0,3695892.0,26.1012262,583627,3,48,2,3293,3346,97,3,673
918,3695321.0,3695893.0,26.1012214375,585833,0,64,1,1075,1140,33,1,661
919,3695297.0,3695879.0,26.1011492,578908,0,61,2,8002,8065,228,7,669
920,3695363.0,3695905.0,26.10206865625,586915,2,54,2,0,58,0,0,706
921,3695363.0,3695905.0,26.10206865625,586918,0,54,1,0,55,0,0,627
922,3695335.0,3695890.0,26.1013627,582463,0,67,1,4442,4510,130,4,713
923,3695363.0,3695905.0,26.10206865625,586923,1,48,1,0,50,0,0,654
924,3695303.0,3695872.0,26.10114645,581416,0,50,3,5504,5557,162,5,664
925,3695325.0,3695903.0,26.101372125,575265,0,56,2,11650,11708,327,10,661
926,3695324.0,3695899.0,26.10127579375,579900,4,45,3,7021,7073,195,6,700
927,3695310.0,3695886.0,26.100892175,577836,0,46,0,9091,9137,261,8,671
928,3695304.0,3695872.0,26.10107733125,580184,0,39,2,6748,6789,195,6,660
929,3695363.0,3695905.0,26.10206865625,586914,0,58,1,0,59,0,0,667
930,3695324.0,3695906.0,26.1014249375,585871,0,40,3,1059,1102,33,1,683
931,3695363.0,3695905.0,26.10206865625,586928,1,43,1,0,45,0,0,705
932,3695363.0,3695905.0,26.10206865625,586924,3,44,2,0,49,0,0,705
933,3695363.0,3695905.0,26.10206865625,586922,0,49,2,0,51,0,0,718
934,3695363.0,3695905.0,26.10206865625,586908,7,53,5,0,65,0,0,714
935,3695341.0,3695893.0,26.10138189375,585866,0,43,1,1063,1107,33,1,694
936,3695312.0,3695877.0,26.10102651875,580080,1,53,1,6838,6893,195,6,679
937,3695331.0,3695893.0,26.10129808125,583508,2,52,2,3409,3465,97,3,657
938,3695297.0,3695882.0,26.10104835,580956,3,41,2,5971,6017,162,5,655
939,3695345.0,3695902.0,26.10141335625,581071,0,48,1,5853,5902,162,5,634
940,3695313.0,3695887.0,26.1010017375,577859,0,49,2,9063,9114,261,8,690
941,3695327.0,3695890.0,26.101121075,584621,0,49,1,2302,2352,65,2,643
942,3695352.0,3695906.0,26.1014485375,582262,0,53,1,4657,4711,130,4,690
943,3695305.0,3695878.0,26.10131620625,585755,0,38,2,1178,1218,33,1,695
944,3695363.0,3695905.0,26.10206865625,586936,1,35,1,0,37,0,0,714
945,3695363.0,3695905.0,26.10206865625,586923,0,47,3,0,50,0,0,655
946,3695363.0,3695905.0,26.10206865625,586922,0,50,1,0,51,0,0,668
947,3695339.0,3695884.0,26.10128104375,585743,0,46,3,1181,1230,33,1,714
948,3695363.0,3695905.0,26.10206865625,586921,0,51,1,0,52,0,0,684
949,3695363.0,3695905.0,26.10206865625,586909,3,58,3,0,64,0,0,674
950,3695347.0,3695898.0,26.10104383125,571145,0,47,2,15779,15828,461,14,651
951,3695363.0,3695905.0,26.10206865625,586911,4,57,1,0,62,0,0,689
952,3695353.0,3695905.0,26.1017315375,569856,0,47,2,17068,17117,495,15,629
953,3695331.0,3695896.0,26.1012399125,572874,0,41,1,14057,14099,394,12,651
954,3695319.0,3695886.0,26.101275318749998,571829,0,35,3,15106,15144,427,13,694
955,3695318.0,3695901.0,26.1011562375,574803,4,36,3,12127,12170,360,11,632
956,3695282.0,3695859.0,26.1010450125,577960,1,46,4,8962,9013,261,8,682
957,3695338.0,3695901.0,26.101343262500002,581272,0,50,1,5650,5701,162,5,670
959,3695363.0,3695905.0,26.10206865625,586922,0,51,0,0,51,0,0,682
960,3695312.0,3695900.0,26.101034175,585781,2,56,2,1132,1192,33,1,643
961,3695363.0,3695905.0,26.10206865625,586903,2,68,0,0,70,0,0,719
962,3695363.0,3695905.0,26.10206865625,586928,2,42,1,0,45,0,0,688
963,3695363.0,3695905.0,26.10206865625,586926,0,46,1,0,47,0,0,686
964,3695332.0,3695903.0,26.10132288125,583302,1,49,5,3616,3671,97,3,677
965,3695323.0,3695885.0,26.10123443125,580932,0,52,1,5988,6041,162,5,693
966,3695329.0,3695883.0,26.10119318125,572183,0,52,2,14736,14790,427,13,666
967,3695295.0,3695885.0,26.10107850625,584640,1,41,2,2289,2333,65,2,653
968,3695351.0,3695906.0,26.10132134375,575465,0,41,0,11467,11508,327,10,648
969,3695322.0,3695892.0,26.10107515625,578973,0,57,2,7941,8000,228,7,673
970,3695363.0,3695905.0,26.10206865625,586905,2,61,5,0,68,0,0,696
971,3695363.0,3695905.0,26.10206865625,586926,0,47,0,0,47,0,0,698
972,3695318.0,3695889.0,26.10108744375,580987,0,44,3,5939,5986,162,5,661
973,3695327.0,3695890.0,26.10135294375,570190,1,49,3,16730,16783,495,15,691
974,3695334.0,3695893.0,26.101258275,581290,0,51,1,5631,5683,162,5,674
975,3695329.0,3695895.0,26.10152530625,577638,0,37,2,9296,9335,261,8,698
976,3695363.0,3695905.0,26.10206865625,586930,1,40,2,0,43,0,0,696
977,3695316.0,3695890.0,26.10116755625,570008,2,45,3,16915,16965,495,15,684
978,3695344.0,3695890.0,26.10156930625,581232,0,58,2,5681,5741,162,5,688
979,3695363.0,3695905.0,26.10206865625,586931,0,42,0,0,42,0,0,656
980,3695363.0,3695905.0,26.10206865625,586923,0,49,1,0,50,0,0,652
981,3695363.0,3695905.0,26.10206865625,586932,0,40,1,0,41,0,0,660
982,3695363.0,3695905.0,26.10206865625,586925,0,48,0,0,48,0,0,681
983,3695331.0,3695891.0,26.10101485,574470,0,36,0,12467,12503,360,11,636
984,3695289.0,3695867.0,26.10112440625,579964,0,45,1,6963,7009,195,6,638
985,3695324.0,3695891.0,26.101071825,583282,0,45,4,3642,3691,97,3,690
986,3695322.0,3695903.0,26.1012534,576634,0,40,2,10297,10339,294,9,627
987,3695363.0,3695905.0,26.10206865625,586932,0,40,1,0,41,0,0,657
988,3695341.0,3695891.0,26.10155189375,581403,1,44,1,5524,5570,162,5,700
989,3695363.0,3695905.0,26.10206865625,586904,0,64,5,0,69,0,0,658
990,3695328.0,3695903.0,26.1012229875,582482,0,52,3,4436,4491,130,4,662
991,3695298.0,3695862.0,26.10105990625,577720,0,46,1,9206,9253,261,8,699
992,3695316.0,3695901.0,26.10122191875,582415,1,59,1,4497,4558,130,4,697
993,3695314.0,3695894.0,26.10121478125,582627,0,52,0,4294,4346,130,4,681
994,3695331.0,3695899.0,26.101250275,583411,0,49,1,3512,3562,97,3,687
995,3695363.0,3695905.0,26.10206865625,586919,0,52,2,0,54,0,0,682
996,3695363.0,3695905.0,26.10206865625,586935,2,35,1,0,38,0,0,707
997,3695314.0,3695887.0,26.101078625,585761,0,45,1,1166,1212,33,1,680
998,3695315.0,3695903.0,26.10142956875,583459,0,52,0,3462,3514,97,3,637
999,3695325.0,3695893.0,26.1014751125,582569,0,42,2,4360,4404,130,4,698
1000,3695363.0,3695905.0,26.10206865625,586938,0,35,0,0,35,0,0,644
1001,3695318.0,3695905.0,26.1009595375,582369,0,46,2,4556,4604,130,4,681
1002,3695363.0,3695905.0,26.10206865625,586907,0,65,1,0,66,0,0,708
1003,3695363.0,3695905.0,26.10206865625,586929,0,42,2,0,44,0,0,666
1004,3695363.0,3695905.0,26.10206865625,586927,1,45,0,0,46,0,0,661
1005,3695291.0,3695870.0,26.1011073625,585688,0,46,2,1237,1285,33,1,657
1006,3695320.0,3695890.0,26.1012066625,585847,1,44,3,1078,1126,33,1,693
1007,3695351.0,3695901.0,26.10118996875,575756,0,52,1,11164,11217,327,10,674
1008,3695338.0,3695902.0,26.101531375,580003,2,49,1,6918,6970,195,6,689
1009,3695326.0,3695891.0,26.1011886625,582309,2,53,1,4608,4664,130,4,686
1010,3695304.0,3695882.0,26.1008759625,577932,0,51,0,8990,9041,261,8,707
1011,3695363.0,3695905.0,26.10206865625,586917,0,54,2,0,56,0,0,662
1012,3695340.0,3695907.0,26.1012549375,584633,0,30,0,2310,2340,65,2,670
1013,3695289.0,3695882.0,26.1011188125,580015,0,33,2,6923,6958,195,6,652
1014,3695363.0,3695905.0,26.10206865625,586922,1,48,2,0,51,0,0,723
1015,3695345.0,3695893.0,26.1013183625,579890,0,53,3,7027,7083,195,6,681
1016,3695318.0,3695894.0,26.101163737500002,582406,0,57,4,4506,4567,130,4,653
1017,3695363.0,3695905.0,26.10206865625,586930,0,42,1,0,43,0,0,674
1018,3695328.0,3695900.0,26.10105300625,583450,0,29,2,3492,3523,97,3,682
1019,3695341.0,3695900.0,26.1011277375,583620,0,33,1,3319,3353,97,3,659
1020,3695340.0,3695898.0,26.10139440625,582382,0,45,1,4545,4591,130,4,683
1021,3695341.0,3695901.0,26.1013196625,576841,0,58,1,10073,10132,294,9,675
1022,3695277.0,3695890.0,26.10112249375,572972,0,47,4,13950,14001,394,12,665
1023,3695271.0,3695904.0,26.101168625,585831,0,53,1,1088,1142,33,1,666
1024,3695342.0,3695890.0,26.10157966875,585803,0,45,0,1125,1170,33,1,674
1025,3695297.0,3695866.0,26.1012637625,575608,0,39,0,11326,11365,327,10,665
1026,3695326.0,3695887.0,26.101247775,576791,2,46,3,10131,10182,294,9,690
1027,3695327.0,3695903.0,26.10135924375,579890,0,40,0,7043,7083,195,6,671
1028,3695363.0,3695905.0,26.10206865625,586924,0,46,3,0,49,0,0,663
1029,3695326.0,3695905.0,26.10149085,574518,0,55,3,12397,12455,360,11,669
1030,3695363.0,3695905.0,26.10206865625,586933,1,36,3,0,40,0,0,666
1031,3695331.0,3695898.0,26.10147785,577669,1,69,4,9230,9304,261,8,705
1032,3695363.0,3695905.0,26.10206865625,586898,2,70,3,0,75,0,0,689
1033,3695327.0,3695913.0,26.1013137125,585809,0,46,5,1113,1164,33,1,657
1034,3695335.0,3695900.0,26.1013416125,578930,1,43,2,7997,8043,228,7,680
1035,3695333.0,3695900.0,26.101285700000002,580288,0,44,2,6639,6685,195,6,653
1036,3695345.0,3695903.0,26.10144495625,581084,0,47,4,5838,5889,162,5,663
1037,3695302.0,3695893.0,26.10128771875,581143,1,50,0,5779,5830,162,5,642
